ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
356	2,0,0,0	2,4,1,1	1,3,1,2	10,8,10,16	150	149
357	15,6,4,3	950,747,606,569	10,10,4,16	680,803,611,621	153	149
359	102,143,181,128	6,2,0,0	148,132,106,127	1,1,1,0	173	149
360	102,144,181,128	0,4,2,6	149,129,105,126	3,0,2,1	173	149
361	99,142,178,129	1,3,1,3	147,131,105,127	0,2,0,0	173	149
362	3,1,3,1	1009,928,897,769	2,1,2,2	840,766,692,791	153	149
363	4,4,2,1	12,5,3,4	1,4,1,2	4,6,3,11	155	149
364	13,4,8,10	294,197,200,207	4,10,4,5	163,172,188,173	155	149
365	9,17,20,8	0,0,0,0	16,13,12,12	0,1,0,0	172	149
366	222,252,275,219	4,4,9,0	193,207,202,184	5,4,4,3	172	149
368	569,465,425,447	6,1,5,0	319,347,299,312	0,0,0,0	280	149
369	181,177,156,137	303,191,186,229	143,128,122,122	108,106,104,115	264	149
372	922,641,669,629	8,13,8,5	772,718,636,726	12,9,16,20	300	149
373	886,610,616,585	0,0,0,0	756,701,662,651	0,0,0,3	1622	149
374	17,8,4,5	4,4,1,0	3,2,2,10	0,3,0,2	168	149
375	338,216,269,254	0,2,2,3	278,205,228,251	1,2,1,0	411	149
379	8,21,4,4	217,217,252,264	11,8,4,4	178,204,176,179	287	149
382	402,290,339,299	5,1,1,4	187,212,203,218	1,2,0,2	438	149
383	11,22,13,13	190,153,116,126	21,12,11,14	154,172,151,159	399	149
384	62,40,53,57	88,61,59,53	43,62,41,48	52,60,39,70	165	149
385	175,304,285,259	44,52,59,62	363,417,368,313	55,66,56,66	215	149
386	105,116,101,112	2,0,0,2	102,106,95,105	0,4,4,0	201	149
387	0,3,1,2	666,579,557,490	1,0,0,5	448,508,399,396	260	149
388	5,1,3,0	1,0,0,0	1,1,2,1	0,0,0,0	184	149
389	11,12,6,4	1,0,0,0	3,2,2,4	0,0,0,0	263	149
390	7,11,4,4	1,0,1,0	2,2,2,3	0,1,2,0	228	149
392	14,5,11,6	0,1,0,0	2,7,7,2	0,2,0,0	335	149
393	214,207,229,211	0,1,0,0	245,284,245,260	0,0,0,0	273	149
394	2686,1818,1846,1798	28,14,7,28	1680,1951,1645,1719	18,14,18,21	170	149
395	2430,1795,1865,1916	0,0,0,0	1997,1972,1760,1707	0,0,0,1	356	149
